,ID,project,lab,composite,dataType,view,cell,treatment,antibody,control,dataVersion,dccAccession,controlId,quality,tableName,type,md5sum,size
624,wgEncodeAwgTfbsUtaMcf7CmycSerumstimUniPk,wgEncode,UT-A,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,MCF-7,serum_stimulated_media,c-Myc,,ENCODEMar2012Freeze,wgEncodeEH003436,wgEncodeEH000589,good,wgEncodeAwgTfbsUtaMcf7CmycSerumstimUniPk,narrowPeak,f2545ae59fbf9b19dd78140095ac4d1f,483K
625,wgEncodeAwgTfbsUtaMcf7CmycSerumstvdUniPk,wgEncode,UT-A,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,MCF-7,serum_starved_media,c-Myc,,ENCODEMar2012Freeze,wgEncodeEH003439,wgEncodeEH000589,good,wgEncodeAwgTfbsUtaMcf7CmycSerumstvdUniPk,narrowPeak,978c7841293ee3d27a628ce7097dd8d8,174K
626,wgEncodeAwgTfbsUtaMcf7CmycVehUniPk,wgEncode,UT-A,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,MCF-7,vehicle,c-Myc,,ENCODEMar2012Freeze,wgEncodeEH001133,wgEncodeEH000589,good,wgEncodeAwgTfbsUtaMcf7CmycVehUniPk,narrowPeak,6482b6b2da12ace373968b61717cd439,632K
627,wgEncodeAwgTfbsUtaMcf7CtcfEstroUniPk,wgEncode,UT-A,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,MCF-7,estrogen,CTCF,,ENCODEMar2012Freeze,wgEncodeEH001131,wgEncodeEH000589,good,wgEncodeAwgTfbsUtaMcf7CtcfEstroUniPk,narrowPeak,e93f53d01fdf21973c6c9b63af06a4db,1.5M
628,wgEncodeAwgTfbsUtaMcf7CtcfSerumstimUniPk,wgEncode,UT-A,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,MCF-7,serum_stimulated_media,CTCF,,ENCODEMar2012Freeze,wgEncodeEH003434,wgEncodeEH000589,good,wgEncodeAwgTfbsUtaMcf7CtcfSerumstimUniPk,narrowPeak,cb8343b7ab8fc558f9bc7f90bdeb6a85,1.2M
629,wgEncodeAwgTfbsUtaMcf7CtcfSerumstvdUniPk,wgEncode,UT-A,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,MCF-7,serum_starved_media,CTCF,,ENCODEMar2012Freeze,wgEncodeEH003437,wgEncodeEH000589,good,wgEncodeAwgTfbsUtaMcf7CtcfSerumstvdUniPk,narrowPeak,9e70614354ee7041b56bf2c700096988,1.2M
630,wgEncodeAwgTfbsUtaMcf7CtcfUniPk,wgEncode,UT-A,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,MCF-7,None,CTCF,,ENCODEMar2012Freeze,wgEncodeEH000598,wgEncodeEH000589,good,wgEncodeAwgTfbsUtaMcf7CtcfUniPk,narrowPeak,e921d49818545374c6715c896051fd7c,1.2M
631,wgEncodeAwgTfbsUtaMcf7CtcfVehUniPk,wgEncode,UT-A,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,MCF-7,vehicle,CTCF,,ENCODEMar2012Freeze,wgEncodeEH001132,wgEncodeEH000589,good,wgEncodeAwgTfbsUtaMcf7CtcfVehUniPk,narrowPeak,a20dc326828c8b04ba826371c01d1a33,1.7M
632,wgEncodeAwgTfbsUtaMcf7Pol2SerumstimUniPk,wgEncode,UT-A,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,MCF-7,serum_stimulated_media,Pol2,,ENCODEMar2012Freeze,wgEncodeEH003435,wgEncodeEH000589,good,wgEncodeAwgTfbsUtaMcf7Pol2SerumstimUniPk,narrowPeak,781d879a8e44238641b0b7d60ca1bf5a,464K
633,wgEncodeAwgTfbsUtaMcf7Pol2SerumstvdUniPk,wgEncode,UT-A,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,MCF-7,serum_starved_media,Pol2,,ENCODEMar2012Freeze,wgEncodeEH003438,wgEncodeEH000589,good,wgEncodeAwgTfbsUtaMcf7Pol2SerumstvdUniPk,narrowPeak,05dea51b751d02df62fc24923d6ddf95,445K
634,wgEncodeAwgTfbsUtaMcf7Pol2UniPk,wgEncode,UT-A,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,MCF-7,None,Pol2,,ENCODEMar2012Freeze,wgEncodeEH001130,wgEncodeEH000589,good,wgEncodeAwgTfbsUtaMcf7Pol2UniPk,narrowPeak,9d9028942dd042458e5a2bca07c6a7ea,377K
635,wgEncodeAwgTfbsUtaNhekCtcfUniPk,wgEncode,UT-A,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,NHEK,None,CTCF,,ENCODEMar2012Freeze,wgEncodeEH000559,generic_female,good,wgEncodeAwgTfbsUtaNhekCtcfUniPk,narrowPeak,333d9e094701602ce33df94b50800f28,1.3M
636,wgEncodeAwgTfbsUtaProgfibCtcfUniPk,wgEncode,UT-A,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,ProgFib,None,CTCF,,ENCODEMar2012Freeze,wgEncodeEH000600,wgEncodeEH000593,good,wgEncodeAwgTfbsUtaProgfibCtcfUniPk,narrowPeak,c3459c0cb03170272bfca1a1bfec0ed5,955K
637,wgEncodeAwgTfbsUtaProgfibPol2UniPk,wgEncode,UT-A,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,ProgFib,None,Pol2,,ENCODEMar2012Freeze,wgEncodeEH000606,wgEncodeEH000593,good,wgEncodeAwgTfbsUtaProgfibPol2UniPk,narrowPeak,084e24f880611e1025ca96918d0c783a,365K
638,wgEncodeAwgTfbsUwA549CtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,A549,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH001890,wgEncodeEH001904,good,wgEncodeAwgTfbsUwA549CtcfUniPk,narrowPeak,255742c9ef3014d005b76a4f22056f6e,945K
639,wgEncodeAwgTfbsUwAg04449CtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,AG04449,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000975,wgEncodeEH000928,good,wgEncodeAwgTfbsUwAg04449CtcfUniPk,narrowPeak,3299dd51bc4785240ee75f48e0e784ed,1.1M
640,wgEncodeAwgTfbsUwAg04450CtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,AG04450,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000976,wgEncodeEH000930,good,wgEncodeAwgTfbsUwAg04450CtcfUniPk,narrowPeak,8b5a364179370a8c367adade18268e69,943K
641,wgEncodeAwgTfbsUwAg09309CtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,AG09309,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000977,wgEncodeEH000932,good,wgEncodeAwgTfbsUwAg09309CtcfUniPk,narrowPeak,2cd9293bf2f423537c5ad0f242600b98,889K
642,wgEncodeAwgTfbsUwAg09319CtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,AG09319,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000978,wgEncodeEH000934,good,wgEncodeAwgTfbsUwAg09319CtcfUniPk,narrowPeak,cbaea7e528e99ebd192dc9d0d96e8c98,965K
643,wgEncodeAwgTfbsUwAg10803CtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,AG10803,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000979,wgEncodeEH000936,good,wgEncodeAwgTfbsUwAg10803CtcfUniPk,narrowPeak,450658c8215737384bdffeb9c63fa644,971K
644,wgEncodeAwgTfbsUwAoafCtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,AoAF,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000980,wgEncodeEH000938,good,wgEncodeAwgTfbsUwAoafCtcfUniPk,narrowPeak,8c26598f0b0553f866541d847939243b,901K
645,wgEncodeAwgTfbsUwBe2cCtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,BE2_C,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH001891,wgEncodeEH001892,good,wgEncodeAwgTfbsUwBe2cCtcfUniPk,narrowPeak,6eaa08149ca06c5e0538f9cfee10e026,1.1M
646,wgEncodeAwgTfbsUwBjCtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,BJ,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000403,wgEncodeEH000453,good,wgEncodeAwgTfbsUwBjCtcfUniPk,narrowPeak,4c4bf9753a07d7bc6ac8ba303622050c,858K
647,wgEncodeAwgTfbsUwCaco2CtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,Caco-2,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000404,wgEncodeEH000454,good,wgEncodeAwgTfbsUwCaco2CtcfUniPk,narrowPeak,a915c0e22c31853b370387f5fb4e85f2,934K
648,wgEncodeAwgTfbsUwGm06990CtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,GM06990,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000392,wgEncodeEH000455,good,wgEncodeAwgTfbsUwGm06990CtcfUniPk,narrowPeak,6e7feb4b7d91b00f3c68d4dd5d045b59,909K
649,wgEncodeAwgTfbsUwGm12801CtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,GM12801,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000393,wgEncodeEH000456,good,wgEncodeAwgTfbsUwGm12801CtcfUniPk,narrowPeak,d62e745d4a3c4ee7860a2245977abb49,54K
650,wgEncodeAwgTfbsUwGm12864CtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,GM12864,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000447,wgEncodeEH000457,good,wgEncodeAwgTfbsUwGm12864CtcfUniPk,narrowPeak,0bacdc21ae601905b227e934bdd7e244,932K
651,wgEncodeAwgTfbsUwGm12865CtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,GM12865,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000448,wgEncodeEH000458,good,wgEncodeAwgTfbsUwGm12865CtcfUniPk,narrowPeak,d2ea103f68fcfc83c5f4653c104cf283,900K
652,wgEncodeAwgTfbsUwGm12872CtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,GM12872,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000449,wgEncodeEH000459,good,wgEncodeAwgTfbsUwGm12872CtcfUniPk,narrowPeak,9c28b7d4012a9057c84dce427056daa1,982K
